Name,Error Per Note,Notes Played,Time Spent
forbidden-friendship.mid,118.1834275,142,29
forbidden-friendship.mid,202.5404388,2089,272
forbidden-friendship.mid,141.5382716,2089,271
forbidden-friendship.mid,115.5521552,2089,271
forbidden-friendship.mid,200.9398049,2089,1913
forbidden-friendship.mid,190.1584958,2089,274
forbidden-friendship.mid,121.0429911,2055,257
forbidden-friendship.mid,442.3404282,39,30
forbidden-friendship.mid,612.7198967,409,89
forbidden-friendship.mid,504.3971216,701,163
forbidden-friendship.mid,458.6749097,29,14
My Dearest.mid,251.9040567,3,9
My Dearest.mid,503.8081134,873,146
